key,ar,en,fr,ge,ja,ko,po,sp,tu,ta
Items.Gloves.Name.1400,قفازات قرمزية,Crimson Gloves,Gants Cramoisis,Karmesin-Handschuhe,クリムゾングローブ,크림슨 글러브,Luvas Carmesins,Guantes Carmesíes,Kızıl Eldiven,Guanti Cremisi
Items.Gloves.Name.1401,قفازات الدم,Blood Gloves,Gants de Sang,Bluthandschuhe,ブラッドグローブ,블러드 글러브,Luvas de Sangue,Guantes de Sangre,Kan Eldiveni,Guanti di Sangue
Items.Gloves.Name.1402,قفازات الرعب,Dread Gloves,Gants d'Effroi,Schreckens-Handschuhe,ドレッドグローブ,드레드 글러브,Luvas do Pavor,Guantes de Pavor,Korku Eldiveni,Guanti del Terrore
Items.Gloves.Name.1403,قفازات الطاغية,Tyrant Gloves,Gants de Tyran,Tyrannen-Handschuhe,タイラントグローブ,타이런트 글러브,Luvas de Tirano,Guantes de Tirano,Zalim Eldiveni,Guanti del Tiranno
Items.Gloves.Name.1404,قفازات إلهية,Divine Gloves,Gants Divins,Göttliche Handschuhe,ディヴァイングローブ,디바인 글러브,Luvas Divinas,Guantes Divinos,İlahi Eldiven,Guanti Divini
Items.Gloves.Name.1405,قفازات الكهنوت,Holy Gloves,Gants Saints,Geweihte Handschuhe,ホーリーグローブ,홀리 글러브,Luvas Santas,Guantes Santos,Kutsal Eldiven,Guanti Santi
Items.Gloves.Name.1406,قفازات متألقة,Radiant Gloves,Gants Radieux,Strahlende Handschuhe,ラディアントグローブ,래디언트 글러브,Luvas Radiantes,Guantes Radiantes,Parlak Eldiven,Guanti Radianti
Items.Gloves.Name.1407,قفازات سماوية,Celestial Gloves,Gants Célestes,Himmlische Handschuhe,セレスティアルグローブ,셀레스티얼 글러브,Luvas Celestiais,Guantes Celestiales,Semavi Eldiven,Guanti Celesti
Items.Gloves.Name.21,قفازات المزارع,Farm Gloves,Gants de Fermier,Bauern-Handschuhe,ファームグローブ,팜 글러브,Luvas de Fazendeiro,Guantes de Granjero,Çiftçi Eldiveni,Guanti del Contadino
Items.Gloves.Name.22,قفازات المتشرد,Vagabond Gloves,Gants de Vagabond,Vagabunden-Handschuhe,ヴァガボンドグローブ,배가본드 글러브,Luvas de Vagabundo,Guantes de Vagabundo,Serseri Eldiveni,Guanti del Vagabondo
Items.Gloves.Name.23,قفازات برتقالية,Orange Gloves,Gants Orange,Orange Handschuhe,オレンジグローブ,오렌지 글러브,Luvas Laranjas,Guantes Naranjas,Turuncu Eldiven,Guanti Arancioni
Items.Gloves.Name.24,قفازات فولاذية,Steel Gloves,Gants en Acier,Stahlhandschuhe,スチールグローブ,스틸 글러브,Luvas de Aço,Guantes de Acero,Çelik Eldiven,Guanti d'Acciaio
Items.Gloves.Name.5,معاصم خشنة,Hide Bracers,Brassards en Cuir Brut,Fell-Armschienen,ハイドブレーサー,하이드 브레이서,Braceletes de Couro Cru,Brazaletes de Cuero Crudo,Post Bileklik,Bracciali di Pelle Grezza
Items.Gloves.Name.51,واقي يد الرامي,Archer Mittens,Moufles d'Archer,Bogenschützen-Fäustlinge,アーチャーミトン,아처 미튼,Mitenes de Arqueiro,Manoplas de Arquero,Okçu El Koruyucu,Manopole dell'Arciere
Items.Gloves.Name.52,قفازات الرامي,Archer Gloves,Gants d'Archer,Bogenschützen-Handschuhe,アーチャーグローブ,아처 글러브,Luvas de Arqueiro,Guantes de Arquero,Okçu Eldiveni,Guanti dell'Arciere
Items.Gloves.Name.53,زرد يد قرمزي,Crimson Gauntlets,Gantelets Cramoisis,Karmesin-Stulpen,クリムゾンガントレット,크림슨 건틀릿,Manoplas Carmesins,Guanteletes Carmesíes,Kızıl Zırh Eldiveni,Guantoni Cremisi
Items.Gloves.Name.54,قفازات قرمزية,Crimson Gloves,Gants Cramoisis,Karmesin-Handschuhe,クリムゾングローブ,크림슨 글러브,Luvas Carmesins,Guantes Carmesíes,Kızıl Eldiven,Guanti Cremisi
Items.Gloves.Name.999,قفازات الزومبي,Zombie Gloves,Gants de Zombie,Zombie-Handschuhe,ゾンビグローブ,좀비 글러브,Luvas Zumbi,Guantes Zombi,Zombi Eldiveni,Guanti Zombie
Items.Helmet.Name.1000,خوذة الزومبي,Zombie Helmet,Casque de Zombie,Zombie-Helm,ゾンビヘルメット,좀비 헬멧,Capacete Zumbi,Casco Zombi,Zombi Miğferi,Elmo Zombie
Items.Helmet.Name.1005,خوذة الزومبي,Zombie Helmet,Casque de Zombie,Zombie-Helm,ゾンビヘルメット,좀비 헬멧,Capacete Zumbi,Casco Zombi,Zombi Miğferi,Elmo Zombie
Items.Helmet.Name.1184,قبعة فلاح,Peasant Hat,Chapeau de Paysan,Bauernhut,ピーザントハット,페전트 햇,Chapéu de Camponês,Sombrero de Campesino,Köylü Şapkası,Cappello del Contadino
Items.Helmet.Name.1198,قبعة قش,Straw Hat,Chapeau de Paille,Strohhut,ストローハット,스트로 햇,Chapéu de Palha,Sombrero de Paja,Hasır Şapka,Cappello di Paglia
Items.Helmet.Name.1210,خوذة بسيطة,Simple Helmet,Casque Simple,Einfacher Helm,シンプルヘルメット,심플 헬멧,Capacete Simples,Casco Simple,Basit Miğfer,Elmo Semplice
Items.Helmet.Name.1221,عباءة الفايكنج,Viking Cape,Cape Viking,Wikinger-Umhang,ヴァイキングケープ,바이킹 케이프,Manto Viking,Capa Vikinga,Viking Pelerini,Mantello Vichingo
Items.Helmet.Name.1229,خوذة الجندي,Soldier Helmet,Casque de Soldat,Soldaten-Helm,ソルジャーヘルメット,솔저 헬멧,Capacete de Soldado,Casco de Soldado,Asker Miğferi,Elmo del Soldato
Items.Helmet.Name.1230,عباءة الرامي,Archer Cape,Cape d'Archer,Bogenschützen-Umhang,アーチャーケープ,아처 케이프,Manto de Arqueiro,Capa de Arquero,Okçu Pelerini,Mantello dell'Arciere
Items.Helmet.Name.1233,خوذة الفايكنج,Viking Helmet,Casque Viking,Wikinger-Helm,ヴァイキングヘルメット,바이킹 헬멧,Capacete Viking,Casco Vikingo,Viking Miğferi,Elmo Vichingo
Items.Helmet.Name.1240,قبعة الحكيم,Wizard Hat,Chapeau de Sorcier,Zauberer-Hut,ウィザードハット,위저드 햇,Chapéu de Bruxo,Sombrero de Brujo,Büyücü Şapkası,Cappello dello Stregone
Items.Helmet.Name.1246,خوذة التمبلر,Templar Helmet,Casque Templier,Templer-Helm,テンプラーヘルメット,템플러 헬멧,Capacete Templário,Casco Templario,Tapınakçı Miğferi,Elmo Templare
Items.Helmet.Name.1276,قبعة القنّاص,Marksman Hat,Chapeau de Tireur,Schützen-Hut,マークスマンハット,마크스맨 햇,Chapéu de Atirador,Sombrero de Tirador,Nişancı Şapkası,Cappello del Tiratore
Items.Helmet.Name.1311,قبعة الرامي,Archer Hat,Chapeau d'Archer,Bogenschützen-Hut,アーチャーハット,아처 햇,Chapéu de Arqueiro,Sombrero de Arquero,Okçu Şapkası,Cappello dell'Arciere
Items.Helmet.Name.1312,قبعة الساحر,Mage Hat,Chapeau de Mage,Magier-Hut,メイジハット,메이지 햇,Chapéu de Mago,Sombrero de Mago,Sihirbaz Şapkası,Cappello del Mago
Items.Helmet.Name.1313,عباءة الكاهن,Sorcerer Cape,Cape de Sorcier,Hexenmeister-Umhang,ソーサラーケープ,소서러 케이프,Manto de Feiticeiro,Capa de Hechicero,Büyücü Pelerini,Mantello dello Stregone
Items.Helmet.Name.1314,خوذة الغموض,Arcane Helmet,Casque Arcane,Arkaner Helm,アーケインヘルメット,아케인 헬멧,Capacete Arcano,Casco Arcano,Gizemli Miğfer,Elmo Arcano
Items.Helmet.Name.1315,قبعة الحكيم,Wizard Hat,Chapeau de Sorcier,Zauberer-Hut,ウィザードハット,위저드 햇,Chapéu de Bruxo,Sombrero de Brujo,Büyücü Şapkası,Cappello dello Stregone
Items.Helmet.Name.1316,عباءة الدرويد,Druidic Cape,Cape Druidique,Druidischer Umhang,ドルイドケープ,드루이드 케이프,Manto Druídico,Capa Druídica,Druid Pelerini,Mantello Druidico
Items.Helmet.Name.1317,خوذة الإلف,Elven Helmet,Casque Elfique,Elfenhelm,エルブンヘルメット,엘븐 헬멧,Capacete Élfico,Casco Élfico,Elf Miğferi,Elmo Elfico
Items.Helmet.Name.1318,قبعة الدرويد,Druid Hat,Chapeau de Druide,Druiden-Hut,ドルイドハット,드루이드 햇,Chapéu de Druida,Sombrero de Druida,Druid Şapkası,Cappello del Druido
Items.Helmet.Name.1319,خوذة الخضرة,Verdant Helmet,Casque Verdoyant,Grünender Helm,ヴァーダントヘルメット,버던트 헬멧,Capacete Verdejante,Casco Verdeante,Yeşil Miğfer,Elmo Verdeggiante
Items.Helmet.Name.1350,تاج جليدي,Glacial Tiara,Tiare Glaciale,Gletscher-Tiara,グレイシャルティアラ,글래시얼 티아라,Tiara Glacial,Tiara Glacial,Buzul Tacı,Tiara Glaciale
Items.Helmet.Name.1351,خوذة الصقيع,Frost Helmet,Casque de Givre,Frost-Helm,フロストヘルメット,프로스트 헬멧,Capacete de Geada,Casco de Escarcha,Don Miğferi,Elmo di Gelo
Items.Helmet.Name.1352,خوذة الجليد,Ice Helmet,Casque de Glace,Eis-Helm,アイスヘルメット,아이스 헬멧,Capacete de Gelo,Casco de Hielo,Buz Miğferi,Elmo di Ghiaccio
Items.Helmet.Name.1353,عباءة باردة,Chill Cape,Cape Glaçante,Eiskalter Umhang,チルケープ,칠 케이프,Manto Gélido,Capa Gélida,Soğuk Pelerin,Mantello Gelido
Items.Helmet.Name.1367,خوذة الزومبي,Zombie Helmet,Casque de Zombie,Zombie-Helm,ゾンビヘルメット,좀비 헬멧,Capacete Zumbi,Casco Zombi,Zombi Miğferi,Elmo Zombie
Items.Helmet.Name.1370,خوذة الزومبي,Zombie Helmet,Casque de Zombie,Zombie-Helm,ゾンビヘルメット,좀비 헬멧,Capacete Zumbi,Casco Zombi,Zombi Miğferi,Elmo Zombie
Items.Helmet.Name.1373,خوذة الزومبي,Zombie Helmet,Casque de Zombie,Zombie-Helm,ゾンビヘルメット,좀비 헬멧,Capacete Zumbi,Casco Zombi,Zombi Miğferi,Elmo Zombie
Items.Helmet.Name.1376,خوذة الزومبي,Zombie Helmet,Casque de Zombie,Zombie-Helm,ゾンビヘルメット,좀비 헬멧,Capacete Zumbi,Casco Zombi,Zombi Miğferi,Elmo Zombie
Items.Helmet.Name.1379,خوذة الزومبي,Zombie Helmet,Casque de Zombie,Zombie-Helm,ゾンビヘルメット,좀비 헬멧,Capacete Zumbi,Casco Zombi,Zombi Miğferi,Elmo Zombie
Items.Helmet.Name.1382,خوذة الزومبي,Zombie Helmet,Casque de Zombie,Zombie-Helm,ゾンビヘルメット,좀비 헬멧,Capacete Zumbi,Casco Zombi,Zombi Miğferi,Elmo Zombie
Items.Helmet.Name.1385,خوذة الزومبي,Zombie Helmet,Casque de Zombie,Zombie-Helm,ゾンビヘルメット,좀비 헬멧,Capacete Zumbi,Casco Zombi,Zombi Miğferi,Elmo Zombie
Items.Helmet.Name.1388,خوذة الزومبي,Zombie Helmet,Casque de Zombie,Zombie-Helm,ゾンビヘルメット,좀비 헬멧,Capacete Zumbi,Casco Zombi,Zombi Miğferi,Elmo Zombie
Items.Helmet.Name.1391,خوذة الزومبي,Zombie Helmet,Casque de Zombie,Zombie-Helm,ゾンビヘルメット,좀비 헬멧,Capacete Zumbi,Casco Zombi,Zombi Miğferi,Elmo Zombie
Items.Helmet.Name.1394,خوذة الزومبي,Zombie Helmet,Casque de Zombie,Zombie-Helm,ゾンビヘルメット,좀비 헬멧,Capacete Zumbi,Casco Zombi,Zombi Miğferi,Elmo Zombie
Items.Helmet.Name.14,عباءة فلاح,Peasant Cape,Cape de Paysan,Bauern-Umhang,ピーザントケープ,페전트 케이프,Manto de Camponês,Capa de Campesino,Köylü Pelerini,Mantello del Contadino
Items.Helmet.Name.1408,خوذة الرعب,Dread Helm,Heaume d'Effroi,Schreckens-Helm,ドレッドヘルム,드레드 헬름,Elmo do Pavor,Yelmo de Pavor,Korku Miğferi,Elmo del Terrore
Items.Helmet.Name.1409,عباءة جهنمية,Infernal Cape,Cape Infernale,Höllen-Umhang,インファーナルケープ,인페르날 케이프,Manto Infernal,Capa Infernal,Cehennem Pelerini,Mantello Infernale
Items.Helmet.Name.1410,خوذة الطاغية,Tyrant Helmet,Casque de Tyran,Tyrannen-Helm,タイラントヘルメット,타이런트 헬멧,Capacete de Tirano,Casco de Tirano,Zalim Miğferi,Elmo del Tiranno
Items.Helmet.Name.1411,قناع الخالد,Undying Mask,Masque Mort-Vivant,Untote Maske,アンダイングマスク,언다잉 마스크,Máscara Imortal,Máscara Imperecedera,Ölmez Maske,Maschera Immortale
Items.Helmet.Name.1412,تاج مُبارك,Blessed Tiara,Tiare Bénie,Gesegnete Tiara,ブレスドティアラ,블레스드 티아라,Tiara Abençoada,Tiara Bendita,Kutsanmış Taç,Tiara Benedetta
Items.Helmet.Name.1413,خوذة سماوية,Celestial Helmet,Casque Céleste,Himmlischer Helm,セレスティアルヘルメット,셀레스티얼 헬멧,Capacete Celestial,Casco Celestial,Semavi Miğfer,Elmo Celeste
Items.Helmet.Name.1414,عباءة أبدية,Eternal Cape,Cape Éternelle,Ewiger Umhang,エターナルケープ,이터널 케이프,Manto Eterno,Capa Eterna,Ebedi Pelerin,Mantello Eterno
Items.Helmet.Name.1415,خوذة شمسية,Solar Helmet,Casque Solaire,Sonnen-Helm,ソーラーヘルメット,솔라 헬멧,Capacete Solar,Casco Solar,Güneş Miğferi,Elmo Solare
Items.Helmet.Name.25,عباءة جلدية,Leather Cape,Cape en Cuir,Lederumhang,レザーケープ,레더 케이프,Manto de Couro,Capa de Cuero,Deri Pelerin,Mantello di Cuoio
Items.Helmet.Name.26,خوذة مستديرة,Round Helmet,Casque Rond,Runder Helm,ラウンドヘルメット,라운드 헬멧,Capacete Redondo,Casco Redondo,Yuvarlak Miğfer,Elmo Rotondo
Items.Helmet.Name.27,قرون الفايكنج,Viking Horns,Cornes Vikings,Wikinger-Hörner,ヴァイキングホーン,바이킹 혼,Chifres Vikings,Cuernos Vikingos,Viking Boynuzları,Corna Vichinghe
Items.Helmet.Name.28,قبعة الفايكنج,Viking Hat,Chapeau Viking,Wikinger-Hut,ヴァイキングハット,바이킹 햇,Chapéu Viking,Sombrero Vikingo,Viking Şapkası,Cappello Vichingo
Items.Helmet.Name.4,قلنسوة فلاح,Peasant Cap,Coiffe de Paysan,Bauernkappe,ピーザントキャップ,페전트 캡,Touca de Camponês,Gorro de Campesino,Köylü Başlığı,Berretto del Contadino
Items.Helmet.Name.48,خوذة الفارس,Knight Helmet,Casque de Chevalier,Ritter-Helm,ナイトヘルメット,나이트 헬멧,Capacete de Cavaleiro,Casco de Caballero,Şövalye Miğferi,Elmo del Cavaliere
Items.Helmet.Name.49,عباءة ملكية,Royal Cape,Cape Royale,Königlicher Umhang,ロイヤルケープ,로열 케이프,Manto Real,Capa Real,Kraliyet Pelerini,Mantello Reale
Items.Helmet.Name.50,خوذة المرافق,Squire Helmet,Casque d'Écuyer,Knappen-Helm,スクワイアヘルメット,스콰이어 헬멧,Capacete de Escudeiro,Casco de Escudero,Silahtar Miğferi,Elmo dello Scudiero
Items.Mastery.Desc.AdBoostDuration,يمدد المدة الفعالة لمعزز الخبرة.,Extends the active duration of Experience Boost.,Prolonge la durée active du Boost d'Expérience.,Verlängert die aktive Dauer des Erfahrungs-Boosts.,経験値ブーストの有効時間を延長します。,경험치 부스트의 활성 시간을 연장합니다.,Estende a duração ativa do Boost de Experiência.,Extiende la duración activa del Boost de Experiencia.,Deneyim Hızlandırmasının aktif süresini uzatır.,Estende la durata attiva del Boost Esperienza.
Items.Mastery.Desc.AdBoostWorth,يزيد مقدار مضاعف الخبرة المكتسب من المعززات.,Increases the amount of experience multiplier gained from boosts.,Augmente le multiplicateur d'expérience obtenu via les boosts.,Erhöht den Erfahrungs-Multiplikator durch Boosts.,ブーストから得られる経験値倍率を増加させます。,부스트로 얻는 경험치 배율을 증가시킵니다.,Aumenta o multiplicador de experiência obtido pelos boosts.,Aumenta el multiplicador de experiencia obtenido por los boosts.,Hızlandırmalardan elde edilen deneyim çarpanını artırır.,Aumenta il moltiplicatore di esperienza ottenuto dai boost.
Items.Mastery.Desc.AutoLootHammerCount,يزيد عدد صناديق الغنائم التي يتم فتحها في وقت واحد في الوضع التلقائي.,Increases the number of loot boxes opened simultaneously in Auto Mode.,Augmente le nombre de coffres à butin ouverts simultanément en mode automatique.,Erhöht die Anzahl der gleichzeitig im Automatikmodus geöffneten Lootboxen.,自動モードで同時に開けられるルートボックスの数を増やします。,자동 모드에서 동시에 열리는 전리품 상자의 수를 늘립니다.,Aumenta o número de caixas de itens abertas simultaneamente no Modo Automático.,Aumenta el número de cajas de botín que se abren simultáneamente en el modo automático.,Otomatik Modda aynı anda açılan kutu sayısını artırır.,Aumenta il numero di casse premio aperte simultaneamente in modalità automatica.
Items.Mastery.Desc.CompanionSummonCount,يزيد عدد المرافقين الذين يظهرون في كل استدعاء.,Increases the number of companions appearing per summon.,Augmente le nombre de compagnons apparaissant par invocation.,"Erhöht die Anzahl der Begleiter, die pro Beschwörung erscheinen.",召喚時に出現する仲間の数を増加させます。,소환 시 나타나는 동료의 수를 증가시킵니다.,Aumenta o número de companheiros que aparecem por invocação.,Aumenta el número de compañeros que aparecen por cada invocación.,Her çağırmada çıkan yoldaş sayısını artırır.,Aumenta il numero di compagni che compaiono per ogni evocazione.
Items.Mastery.Desc.ForgeMaxItemLevel,يزيد الحد الأقصى لمستوى العناصر التي يمكنك الحصول عليها.,Increases the maximum level of items you can find.,Augmente le niveau maximum des objets que vous pouvez obtenir.,"Erhöht die maximale Stufe der Gegenstände, die du finden kannst.",入手できるアイテムの最大レベルを上げる。,획득할 수 있는 아이템의 최대 레벨을 높입니다.,Aumenta o nível máximo dos itens que você pode obter.,Aumenta el nivel máximo de los objetos que puedes obtener.,Bulabileceğin eşyaların maksimum seviyesini artırır.,Aumenta il livello massimo degli oggetti che puoi ottenere.
Items.Mastery.Desc.GemOfferChance,يزيد احتمالية إيجاد الجواهر في صناديق العرض.,Increases the probability of finding Gems in Offer Chests.,Augmente la probabilité de trouver des Gemmes dans les Coffres d'Offre.,"Erhöht die Wahrscheinlichkeit, Edelsteine in Angebots-Truhen zu finden.",オファーチェストでジェムを発見する確率を増加させます。,오퍼 상자에서 젬을 발견할 확률을 증가시킵니다.,Aumenta a probabilidade de encontrar Gemas nas Caixas de Oferta.,Aumenta la probabilidad de encontrar Gemas en los Cofres de Oferta.,Teklif Sandıklarında Mücevher bulma olasılığını artırır.,Aumenta la probabilità di trovare Gemme nelle Casse Offerta.
Items.Mastery.Desc.GemOfferCount,يزيد عدد الجواهر التي تُستلَم من صناديق العرض.,Increases the amount of Gems received from Offer Chests.,Augmente la quantité de Gemmes reçues des Coffres d'Offre.,Erhöht die Anzahl der Edelsteine aus Angebots-Truhen.,オファーチェストから受け取るジェムの数を増加させます。,오퍼 상자에서 받는 젬의 양을 증가시킵니다.,Aumenta a quantidade de Gemas recebidas das Caixas de Oferta.,Aumenta la cantidad de Gemas recibidas de los Cofres de Oferta.,Teklif Sandıklarından elde edilen Mücevher miktarını artırır.,Aumenta la quantità di Gemme ricevute dalle Casse Offerta.
Items.Mastery.Desc.LevelUpRewardWorth,يزيد من المكافآت الممنوحة في كل مرة ترتقي فيها بمستواك.,Increases the rewards granted each time you level up.,Augmente les récompenses octroyées à chaque passage de niveau.,"Erhöht die Belohnungen, die Sie jedes Mal beim Stufenaufstieg erhalten.",レベルアップするたびに得られる報酬が増加します。,레벨업할 때마다 주어지는 보상이 증가합니다.,Aumenta as recompensas concedidas a cada vez que você sobe de nível.,Aumenta las recompensas que se otorgan cada vez que subes de nivel.,Her seviye atladığınızda verilen ödülleri artırır.,Aumenta le ricompense ottenute ogni volta che si sale di Lvl.
Items.Mastery.Desc.MaxOfflineTime,يمدد هذا الخيار الحد الMax للوقت الذي يمكنك فيه ربح المكافآت أثناء عدم الاتصال بالإنترنت.,Extends the maximum time you can earn rewards while offline.,Augmente la durée maximale pendant laquelle vous pouvez gagner des récompenses hors ligne.,"Verlängert die maximale Zeit, in der Sie Prämien verdienen können, während Sie offline sind.",オフライン時に報酬を獲得できる最大時間を延長します。,오프라인 상태에서 보상을 획득할 수 있는 최대 시간을 연장합니다.,Aumenta o tempo máximo que você pode ganhar recompensas enquanto estiver offline.,Amplía el tiempo máximo durante el cual puedes ganar recompensas sin conexión a internet.,Çevrimdışıyken ödül kazanabileceğiniz maksimum süreyi uzatır.,Estende il tempo Max durante il quale è possibile guadagnare ricompense offline.
Items.Mastery.Desc.MiningMaxPickaxe,يزيد الحد الأقصى لعدد المعاول التي يمكنك تخزينها.,Increases the maximum number of pickaxes you can store.,Augmente le nombre maximum de pioches que vous pouvez stocker.,"Erhöht die maximale Anzahl an Spitzhacken, die du aufbewahren kannst.",保有できるツルハシの最大数を増やします。,보유할 수 있는 곡괭이의 최대 개수를 늘립니다.,Aumenta o número máximo de picaretas que você pode armazenar.,Aumenta el número máximo de picos que puedes almacenar.,Saklayabileceğin maksimum kazma sayısını artırır.,Aumenta il numero massimo di picconi che puoi conservare.
Items.Mastery.Desc.OfflineEarningWorth,يزيد من سرعة جمع الموارد أثناء عدم الاتصال بالإنترنت.,Increases the speed of resource gathering while offline.,Augmente la vitesse de collecte des ressources en mode hors ligne.,Erhöht die Geschwindigkeit der Ressourcenbeschaffung im Offline-Modus.,オフライン時のリソース収集速度を向上させます。,오프라인 상태에서 자원 수집 속도를 높여줍니다.,Aumenta a velocidade de coleta de recursos quando offline.,Aumenta la velocidad de obtención de recursos sin conexión.,Çevrimdışıyken kaynak toplama hızını artırır.,Aumenta la velocità di raccolta delle risorse quando si è offline.
Items.Mastery.Desc.PlayerMovementSpeed,يزيد من سرعة حركة الشخصية.,Increases character movement speed.,Augmente la vitesse de déplacement du personnage.,Erhöht die Bewegungsgeschwindigkeit der Spielfigur.,キャラクターの移動速度を向上させます。,캐릭터의 이동 속도를 증가시킵니다.,Aumenta a velocidade de movimento do personagem.,Aumenta la velocidad de movimiento del personaje.,Karakter hareket hızını artırır.,Aumenta la velocità di movimento del personaggio.
Items.Mastery.Name.AdBoostDuration,تمديد معزز الخبرة,Extended EXP Boost,Boost EXP Prolongé,Verlängerter EP-Boost,EXPブースト延長,연장된 EXP 부스트,Boost EXP Estendido,Boost EXP Extendido,Uzatılmış EXP Hızlandırma,Boost EXP Esteso
Items.Mastery.Name.AdBoostWorth,مضاعف معزز الخبرة,EXP Boost Multiplier,Multiplicateur Boost EXP,EP-Boost-Multiplikator,EXPブースト倍率,EXP 부스트 배율,Multiplicador de Boost EXP,Multiplicador de Boost EXP,EXP Hızlandırma Çarpanı,Moltiplicatore Boost EXP
Items.Mastery.Name.AutoLootHammerCount,سرعة النهب التلقائي,Auto-Loot Speed,Vitesse de pillage automatique,Automatische Beutegeschwindigkeit,自動ルート速度,자동 루팅 속도,Velocidade de Saque Automático,Velocidad de saqueo automático,Otomatik Kutu Hızı,Velocità di raccolta automatica
Items.Mastery.Name.CompanionSummonCount,سعة الاستدعاء,Summon Capacity,Capacité d'invocation,Beschwörungskapazität,召喚能力,소환 용량,Capacidade de Invocação,Capacidad de invocación,Çağırma Kapasitesi,Capacità di evocazione
Items.Mastery.Name.ForgeMaxItemLevel,الحد الأقصى لمستوى العنصر,Max Item Level,Niveau d'objet max,Max. Gegenstandsstufe,最大アイテムレベル,최대 아이템 레벨,Nível máx. de item,Nivel máx. de objeto,Maks. Eşya Seviyesi,Livello oggetto max
Items.Mastery.Name.GemOfferChance,فرصة جواهر العرض,Offer Gem Chance,Chance de Gemmes d'Offre,Edelstein-Chance im Angebot,オファージェム確率,오퍼 젬 확률,Chance de Gemas em Ofertas,Probabilidad de Gemas en Ofertas,Mücevher Teklif  Şansı,Probabilità Gemme Offerta
Items.Mastery.Name.GemOfferCount,جواهر إضافية للعرض,Offer Bonus Gems,Gemmes Bonus d'Offre,Bonus-Edelsteine im Angebot,オファーボーナスジェム,오퍼 보너스 젬,Bônus de Gemas em Ofertas,Bonus de Gemas en Ofertas,Mücevher Teklif Bonusu,Bonus Gemme Offerta
Items.Mastery.Name.LevelUpRewardWorth,مكافأة رفع Lvl,Level-Up Bonus,Bonus de passage au niveau supérieur,Level-Up-Bonus,レベルアップボーナス,레벨업 보너스,Bônus de Subida de Nível,Bonificación por subir de nivel,Seviye Atlama Bonusu,Bonus di passaggio di Lvl
Items.Mastery.Name.MaxOfflineTime,الحد الأقصى لوقت عدم الاتصال,Max Offline Time,Temps Hors Ligne Max,Max. Offline-Zeit,最大オフライン時間,최대 오프라인 시간,Tempo Máx. Offline,Tiempo Máx. Sin Conexión,Maks. Çevrimdışı Süre,Tempo Offline Max
Items.Mastery.Name.MiningMaxPickaxe,الحد الأقصى للمعاول,Max Pickaxes,Pioches max,Max. Spitzhacken,ツルハシ上限,최대 곡괭이,Picaretas máx.,Picos máximos,Maks. Kazma,Picconi max
Items.Mastery.Name.OfflineEarningWorth,معدل الربح دون اتصال بالإنترنت,Offline Earning Rate,Taux de gain hors ligne,Offline-Verdienstrate,オフライン収益率,오프라인 수익률,Taxa de ganhos offline,Tasa de ganancias fuera de línea,Çevrimdışı Kazanç Oranı,Tasso di guadagno offline
Items.Mastery.Name.PlayerMovementSpeed,سرعة الحركة,Movement Speed,Vitesse de déplacement,Bewegungsgeschwindigkeit,移動速度,이동 속도,Velocidade de movimento,Velocidad de movimiento,Hareket Hızı,Velocità di movimento
Items.Necklace.Name.1026,قلادة الأنياب,Tooth Necklace,Collier de Crocs,Zahn-Halskette,トゥースネックレス,투스 목걸이,Colar de Presas,Collar de Colmillos,Diş Kolye,Collana di Zanne
Items.Necklace.Name.1027,قلادة التمبلر,Templar Necklace,Collier Templier,Templer-Halskette,テンプラーネックレス,템플러 목걸이,Colar Templário,Collar Templario,Tapınakçı Kolyesi,Collana Templare
Items.Necklace.Name.1028,قلادة الفارس,Knight Necklace,Collier de Chevalier,Ritter-Halskette,ナイトネックレス,나이트 목걸이,Colar de Cavaleiro,Collar de Caballero,Şövalye Kolyesi,Collana del Cavaliere
Items.Necklace.Name.1029,قلادة خضراء,Green Necklace,Collier Vert,Grüne Halskette,グリーンネックレス,그린 목걸이,Colar Verde,Collar Verde,Yeşil Kolye,Collana Verde
Items.Necklace.Name.1030,قلادة المرافق,Squire Necklace,Collier d'Écuyer,Knappen-Halskette,スクワイアネックレス,스콰이어 목걸이,Colar de Escudeiro,Collar de Escudero,Silahtar Kolyesi,Collana dello Scudiero
Items.Necklace.Name.1031,قلادة الرونية,Rune Necklace,Collier Runique,Runen-Halskette,ルーンネックレス,룬 목걸이,Colar Rúnico,Collar Rúnico,Rün Kolye,Collana Runica
Items.Necklace.Name.1032,قلادة الريش,Feather Necklace,Collier de Plumes,Feder-Halskette,フェザーネックレス,페더 목걸이,Colar de Plumas,Collar de Plumas,Tüy Kolye,Collana di Piume
Items.Necklace.Name.1033,قلادة حديدية,Iron Necklace,Collier en Fer,Eisen-Halskette,アイアンネックレス,아이언 목걸이,Colar de Ferro,Collar de Hierro,Demir Kolye,Collana di Ferro
Items.Necklace.Name.1035,قلادة الصقر,Hawk Necklace,Collier de Faucon,Falken-Halskette,ホークネックレス,호크 목걸이,Colar de Falcão,Collar de Halcón,Şahin Kolye,Collana del Falco
Items.Necklace.Name.1047,قلادة خشبية,Wooden Necklace,Collier en Bois,Holz-Halskette,ウッドネックレス,우든 목걸이,Colar de Madeira,Collar de Madera,Ahşap Kolye,Collana di Legno
